source,geneTarget,signatureName,PMID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,EPHA2,140.138.144.141/~RegPhos/download/RegPhos,17192257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,EZH2,140.138.144.141/~RegPhos/download/RegPhos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,FOXO1,140.138.144.141/~RegPhos/download/RegPhos,10358075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,FOXO1,140.138.144.141/~RegPhos/download/RegPhos,10358075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,FOXO1,140.138.144.141/~RegPhos/download/RegPhos,10358075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,FOXO3,140.138.144.141/~RegPhos/download/RegPhos,10102273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,FOXO4,140.138.144.141/~RegPhos/download/RegPhos,16272144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,FOXO4,140.138.144.141/~RegPhos/download/RegPhos,10217147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,FOXO4,140.138.144.141/~RegPhos/download/RegPhos,10217147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,FYV1,140.138.144.141/~RegPhos/download/RegPhos,18669648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,GRDN,140.138.144.141/~RegPhos/download/RegPhos,16139227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,GSK3A,140.138.144.141/~RegPhos/download/RegPhos,17192257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,GSK3B,140.138.144.141/~RegPhos/download/RegPhos,8250835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,HJURP,140.138.144.141/~RegPhos/download/RegPhos,17256767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,IKKA,140.138.144.141/~RegPhos/download/RegPhos,10485710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,ITB3,140.138.144.141/~RegPhos/download/RegPhos,10896934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,M3K5,140.138.144.141/~RegPhos/download/RegPhos,14500571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,NUAK1,140.138.144.141/~RegPhos/download/RegPhos,12409306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,PALLD,140.138.144.141/~RegPhos/download/RegPhos,17081983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,PDCD4,140.138.144.141/~RegPhos/download/RegPhos,16357133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,PDCD4,140.138.144.141/~RegPhos/download/RegPhos,16357133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,PTN1,140.138.144.141/~RegPhos/download/RegPhos,10480872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,RAF1,140.138.144.141/~RegPhos/download/RegPhos,8349614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,RARA,140.138.144.141/~RegPhos/download/RegPhos,16417524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,RGPA2,140.138.144.141/~RegPhos/download/RegPhos,16490346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,RGPA2,140.138.144.141/~RegPhos/download/RegPhos,16490346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,RGPA2,140.138.144.141/~RegPhos/download/RegPhos,16490346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,RNF11,140.138.144.141/~RegPhos/download/RegPhos,16123141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,S1PR1,140.138.144.141/~RegPhos/download/RegPhos,11583630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKT1,SRPK2,140.138.144.141/~RegPhos/download/RegPhos,19592491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
