miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)				
MIRT438683	hsa-miR-212-3p	Homo sapiens	ACHE	43	Homo sapiens	In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23974008				
MIRT734341	hsa-miR-124-5p	Homo sapiens	ACHE	43	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	27977009				
MIRT733769	hsa-miR-101-5p	Homo sapiens	ACKR3	57007	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27904690				
MIRT734541	hsa-miR-100-5p	Homo sapiens	ACKR3	57007	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27035873				
MIRT734651	hsa-miR-22-3p	Homo sapiens	ACLY	47	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27317765				
MIRT025381	hsa-miR-34a-5p	Homo sapiens	ACSL1	2180	Homo sapiens	Reporter assay	Proteomics//Proteomics	Functional MTI	21566225			
MIRT054854	hsa-miR-205-5p	Homo sapiens	ACSL1	2180	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24462768				
MIRT732422	hsa-miR-26a-1-3p	Homo sapiens	ACSL3	2181	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25961460				
MIRT025215	hsa-miR-34a-5p	Homo sapiens	ACSL4	2182	Homo sapiens	Proteomics//Reporter assay	Proteomics	Functional MTI	21566225			
MIRT054569	hsa-miR-205-5p	Homo sapiens	ACSL4	2182	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24576478				
MIRT733092	hsa-miR-26a-1-3p	Homo sapiens	ACSL4	2182	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25961460				
MIRT007163	hsa-miR-644a	Homo sapiens	ACTB	60	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23091630				
MIRT568642	hsa-miR-33a-5p	Homo sapiens	ACTB	60	Homo sapiens	Flow//qRT-PCR//Western blot	Functional MTI	25544258				
MIRT731629	hsa-miR-139-5p	Homo sapiens	ACTC1	70	Homo sapiens	Luciferase reporter assay	Functional MTI	27139165				
MIRT047724	hsa-miR-10a-5p	Homo sapiens	ACTG1	71	Homo sapiens	GFP reporter assay//qRT-PCR//Western blot	Functional MTI	28383561				
MIRT053344	hsa-miR-206	Homo sapiens	ACTL6A	86	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	23728344				
MIRT006946	hsa-miR-148a-3p	Homo sapiens	ACVR1	90	Homo sapiens	Luciferase reporter assay	Functional MTI	22408438				
MIRT006946	hsa-miR-148a-3p	Homo sapiens	ACVR1	90	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	25271001				
MIRT054060	hsa-miR-148b-3p	Homo sapiens	ACVR1	90	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	23227223				
MIRT054061	hsa-miR-365a-3p	Homo sapiens	ACVR1	90	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	23227223				
MIRT054062	hsa-miR-26a-5p	Homo sapiens	ACVR1	90	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	23227223				
MIRT438606	hsa-miR-130a-3p	Homo sapiens	Acvr1	11477	Homo sapiens	Luciferase reporter assay//qRT-PCR//	Functional MTI	25002578				
MIRT003830	hsa-miR-24-3p	Homo sapiens	ACVR1B	91	Homo sapiens	Western blot//Luciferase reporter assay//Reporter assay	Other	Functional MTI	17906079			
MIRT438286	hsa-miR-199a-5p	Homo sapiens	ACVR1B	91	Homo sapiens	Immunoprecipitaion//qRT-PCR//Western blot//Luciferase reporter assay	Functional MTI	25258381				
MIRT438735	hsa-miR-135b-5p	Homo sapiens	ACVR1B	91	Homo sapiens	ChIP-seq//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24802670				
MIRT005775	hsa-miR-376c-3p	Homo sapiens	ACVR1C	130399	Homo sapiens	Luciferase reporter assay//Western blot//Reporter assay	Western blot	qRT-PCR	Functional MTI	21224400		
MIRT005775	hsa-miR-376c-3p	Homo sapiens	ACVR1C	130399	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23424236				
MIRT000536	hsa-miR-16-5p	Homo sapiens	ACVR2A	92	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20216554				
MIRT006339	hsa-miR-192-5p	Homo sapiens	ACVR2B	93	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22431721				
MIRT006340	hsa-miR-215-5p	Homo sapiens	ACVR2B	93	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22431721				
MIRT006341	hsa-miR-194-5p	Homo sapiens	ACVR2B	93	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22431721				
MIRT006342	hsa-miR-141-3p	Homo sapiens	ACVR2B	93	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22431721				
MIRT006343	hsa-miR-200c-3p	Homo sapiens	ACVR2B	93	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	22431721				
MIRT438367	hsa-miR-140-5p	Homo sapiens	ADA	100	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	24530397				
MIRT004879	hsa-miR-122-5p	Homo sapiens	ADAM10	102	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	19726678				
MIRT004879	hsa-miR-122-5p	Homo sapiens	ADAM10	102	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR	Functional MTI	25318895				
MIRT732446	hsa-miR-451a	Homo sapiens	ADAM10	102	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25151965				
MIRT733111	hsa-miR-103a-3p	Homo sapiens	ADAM10	102	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	28357407				
MIRT733133	hsa-miR-448	Homo sapiens	ADAM10	102	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26852749				
MIRT733672	hsa-miR-655-3p	Homo sapiens	ADAM10	102	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27259866				
MIRT734342	hsa-miR-449a	Homo sapiens	ADAM10	102	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27398144				
MIRT005667	hsa-miR-29b-3p	Homo sapiens	ADAM12	8038	Homo sapiens	Luciferase reporter assay//Microarray//Northern blot//qRT-PCR	Functional MTI	20971881				
MIRT005667	hsa-miR-29b-3p	Homo sapiens	ADAM12	8038	Homo sapiens	Luciferase reporter assay//Microarray//qRT-PCR	Functional MTI	19956414				
MIRT005667	hsa-miR-29b-3p	Homo sapiens	ADAM12	8038	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25886595				
MIRT733083	hsa-miR-29a-3p	Homo sapiens	ADAM12	8038	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25886595				
MIRT733084	hsa-miR-29c-3p	Homo sapiens	ADAM12	8038	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25886595				
MIRT733087	hsa-miR-200b-3p	Homo sapiens	ADAM12	8038	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25886595				
MIRT733088	hsa-miR-200c-3p	Homo sapiens	ADAM12	8038	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25886595				
MIRT003112	hsa-miR-122-5p	Homo sapiens	ADAM17	6868	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	19296470				
MIRT003112	hsa-miR-122-5p	Homo sapiens	ADAM17	6868	Homo sapiens	Luciferase reporter assay//	Functional MTI	19935707				
MIRT007275	hsa-miR-145-5p	Homo sapiens	ADAM17	6868	Homo sapiens	Luciferase reporter assay	Functional MTI	23441135				
MIRT007275	hsa-miR-145-5p	Homo sapiens	ADAM17	6868	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23076445				
MIRT054717	hsa-miR-152-3p	Homo sapiens	ADAM17	6868	Homo sapiens	ELISA//Luciferase reporter assay/qRT-PCR//Western blot	Functional MTI	24813629				
MIRT054717	hsa-miR-152-3p	Homo sapiens	ADAM17	6868	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24780186				
MIRT438130	hsa-miR-26a-5p	Homo sapiens	ADAM17	6868	Homo sapiens	Immunofluorescence//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	24375761				
MIRT732080	hsa-miR-338-3p	Homo sapiens	ADAM17	6868	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26617808				
MIRT732801	hsa-miR-27b-5p	Homo sapiens	ADAM19	8728	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	26473412				
MIRT438252	hsa-miR-222-3p	Homo sapiens	ADAM1A	8759	Homo sapiens	Luciferase reporter assay	Functional MTI	24736554				
MIRT438253	hsa-miR-221-3p	Homo sapiens	ADAM1A	8759	Homo sapiens	Luciferase reporter assay	Functional MTI	24736554				
MIRT007266	hsa-miR-126-3p	Homo sapiens	ADAM9	8754	Homo sapiens	Luciferase reporter assay	Functional MTI	23437250				
MIRT007266	hsa-miR-126-3p	Homo sapiens	ADAM9	8754	Homo sapiens	Immunohistochemistry//In situ hybridization//Microarray//qRT-PCR//Western blot	Functional MTI	22064652				
MIRT007266	hsa-miR-126-3p	Homo sapiens	ADAM9	8754	Homo sapiens	Western blot	Functional MTI	24823697				
MIRT007266	hsa-miR-126-3p	Homo sapiens	ADAM9	8754	Homo sapiens	In situ hybridization//Microarray//Luciferase reporter assay	Functional MTI	25512445				
MIRT007266	hsa-miR-126-3p	Homo sapiens	ADAM9	8754	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	26244545				
MIRT007266	hsa-miR-126-3p	Homo sapiens	ADAM9	8754	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	28260063				
MIRT007267	hsa-miR-126-5p	Homo sapiens	ADAM9	8754	Homo sapiens	Luciferase reporter assay	Functional MTI	23437250				
MIRT733344	hsa-miR-33a-5p	Homo sapiens	ADAM9	8754	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	26507842				
MIRT732445	hsa-miR-144-3p	Homo sapiens	Adamts1	11504	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25151965				
MIRT732025	hsa-miR-221-3p	Homo sapiens	ADAMTS6	11174	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	27542224				
MIRT005668	hsa-miR-29a-3p	Homo sapiens	ADAMTS9	56999	Homo sapiens	Luciferase reporter assay//Microarray//Northern blot//qRT-PCR	Functional MTI	20971881				
MIRT002820	hsa-miR-1-3p	Homo sapiens	ADAR	103	Homo sapiens	Luciferase reporter assay//Microarray	Functional MTI	15685193				
MIRT437884	hsa-miR-17-5p	Homo sapiens	ADAR	103	Homo sapiens	Luciferase reporter assay	Functional MTI	23728176				
MIRT437885	hsa-miR-432-5p	Homo sapiens	ADAR	103	Homo sapiens	Luciferase reporter assay	Functional MTI	23728176				
MIRT733391	hsa-miR-212-3p	Homo sapiens	ADCY1	107	Homo sapiens	Luciferase reporter assay	Functional MTI	25766675				
MIRT001991	hsa-miR-96-5p	Homo sapiens	ADCY6	112	Homo sapiens	Luciferase reporter assay	Functional MTI	17597072				
MIRT001992	hsa-miR-182-5p	Homo sapiens	ADCY6	112	Homo sapiens	Luciferase reporter assay	Functional MTI	17597072				
MIRT001992	hsa-miR-182-5p	Homo sapiens	ADCY6	112	Homo sapiens	Luciferase reporter assay//qRT-PCR	Functional MTI	20656788				
MIRT054648	hsa-miR-181b-5p	Homo sapiens	ADCY9	115	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24269684				
MIRT437436	hsa-miR-145-5p	Homo sapiens	ADD3	120	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23814265				
